"year","stakes","wards","membership","children_of_record","converts","url"
"1970",537,4922,2930810,55210,79126,"https://www.churchofjesuschrist.org/study/general-conference/1971/04/statistical-report-1970?lang=eng"
"1971",562,4342,3090953,53524,83514,"https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-annual-report-of-the-church?lang=eng"
"1972",592,5394,3227790,58343,91237,"https://www.churchofjesuschrist.org/study/general-conference/1973/04/statistical-report-1972?lang=eng"
"1973",630,5707,3321556,48578,79603,"https://www.churchofjesuschrist.org/study/general-conference/1974/04/statistical-report-1973?lang=eng"
"1974",675,5951,3385909,47234,69018,"https://www.churchofjesuschrist.org/study/general-conference/1975/04/statistical-report-1974?lang=eng"
"1975",737,6390,3572202,50263,95412,"https://www.churchofjesuschrist.org/study/general-conference/1976/04/statistical-report-1975?lang=eng"
"1976",798,6903,3742749,52281,133959,"https://www.churchofjesuschrist.org/study/general-conference/1977/04/statistical-report-1976?lang=eng"
"1977",885,5917,3966000,62000,167939,"https://www.churchofjesuschrist.org/study/general-conference/1978/04/statistical-report-1977?lang=eng"
"1978",990,6731,4160000,63000,152000,"https://www.churchofjesuschrist.org/study/general-conference/1979/04/statistical-report-1978?lang=eng"
"1979",1092,7235,4439000,67000,193000,"https://www.churchofjesuschrist.org/study/general-conference/1980/04/statistical-report-1979?lang=eng"
"1980",1218,7868,4638000,65000,211000,"https://www.churchofjesuschrist.org/study/general-conference/1981/04/statistical-report-1980?lang=eng"
"1981",1321,8392,4936000,69000,224000,"https://www.churchofjesuschrist.org/study/general-conference/1982/04/statistical-report-1981?lang=eng"
"1982",1392,8888,5165000,67000,207000,"https://www.churchofjesuschrist.org/study/general-conference/1983/04/statistical-report-1982?lang=eng"
"1983",1458,9329,5400000,69000,189419,"https://www.churchofjesuschrist.org/study/general-conference/1984/04/statistical-report-1983?lang=eng"
"1984",1507,9723,5650000,69000,192983,"https://www.churchofjesuschrist.org/study/general-conference/1985/04/statistical-report-1984?lang=eng"
"1985",1582,10168,5920000,70000,197640,"https://www.churchofjesuschrist.org/study/general-conference/1986/04/statistical-report-1985?lang=eng"
"1986",1622,10527,6170000,72000,216210,"https://www.churchofjesuschrist.org/study/general-conference/1987/04/statistical-report-1986?lang=eng"
"1987",1666,10907,6440000,75000,227284,"https://www.churchofjesuschrist.org/study/general-conference/1988/04/statistical-report-1987?lang=eng"
"1988",1707,11196,6720000,73000,256515,"https://www.churchofjesuschrist.org/study/general-conference/1989/04/statistical-report-1988?lang=eng"
"1989",1739,11536,7300000,75000,318940,"https://www.churchofjesuschrist.org/study/general-conference/1990/04/statistical-report-1989?lang=eng"
"1990",1784,18090,7760000,78000,330877,"https://www.churchofjesuschrist.org/study/general-conference/1991/04/statistical-report-1990?lang=eng"
"1991",1837,18810,8120000,75000,297770,"https://www.churchofjesuschrist.org/study/general-conference/1992/04/statistical-report-1991?lang=eng"
"1992",1919,20081,8406895,77380,274477,"https://www.churchofjesuschrist.org/study/general-conference/1993/04/statistical-report-1992?lang=eng"
"1993",1968,21002,8696224,76312,304808,"https://www.churchofjesuschrist.org/study/general-conference/1994/04/statistical-report-1993?lang=eng"
"1994",2008,21774,9024569,72538,300730,"https://www.churchofjesuschrist.org/study/general-conference/1995/04/statistical-report-1994?lang=eng"
"1995",2150,22697,9340898,71139,304330,"https://www.churchofjesuschrist.org/study/general-conference/1996/04/statistical-report-1995?lang=eng"
"1996",2296,23528,9694549,81017,321385,"https://www.churchofjesuschrist.org/study/general-conference/1997/04/statistical-report-1996?lang=eng"
"1997",2424,24670,10070524,75214,317798,"https://www.churchofjesuschrist.org/study/general-conference/1998/04/statistical-report-1997?lang=eng"
"1998",2505,25551,10354241,76829,299134,"https://www.churchofjesuschrist.org/study/general-conference/1999/04/statistical-report-1998?lang=eng"
"1999",2542,25793,10752986,84118,306171,"https://www.churchofjesuschrist.org/study/general-conference/2000/04/statistical-report-1999?lang=eng"
"2000",2581,25915,11068861,81450,273973,"https://www.churchofjesuschrist.org/study/general-conference/2001/04/statistical-report-2000?lang=eng"
"2001",2607,26084,11394522,69522,292612,"https://www.churchofjesuschrist.org/study/general-conference/2002/04/statistical-report-2001?lang=eng"
"2002",2602,26143,11721548,81132,283138,"https://www.churchofjesuschrist.org/study/general-conference/2003/04/statistical-report-2002?lang=eng"
"2003",2624,26237,11985254,99457,242923,"https://www.churchofjesuschrist.org/study/general-conference/2004/04/statistical-report-2003?lang=eng"
"2004",2665,26670,12275822,98870,241239,"https://www.churchofjesuschrist.org/study/general-conference/2005/04/statistical-report-2004?lang=eng"
"2005",2701,27087,12560869,93150,243108,"https://www.churchofjesuschrist.org/study/general-conference/2006/04/statistical-report-2005?lang=eng"
"2006",2745,27475,12868606,94006,272845,"https://www.churchofjesuschrist.org/study/general-conference/2007/04/statistical-report-2006?lang=eng"
"2007",2790,27827,13193999,93698,279218,"https://www.churchofjesuschrist.org/study/general-conference/2008/04/statistical-report-2007?lang=eng"
"2008",2818,28109,13508509,123502,265593,"https://www.churchofjesuschrist.org/study/general-conference/2009/04/statistical-report-2008?lang=eng"
"2009",2865,28424,13824854,119722,280106,"https://www.churchofjesuschrist.org/study/general-conference/2010/04/statistical-report-2009?lang=eng"
"2010",2896,28660,14131467,120528,272814,"https://www.churchofjesuschrist.org/study/general-conference/2011/04/statistical-report-2010?lang=eng"
"2011",2946,28784,14441346,119917,281312,"https://www.churchofjesuschrist.org/study/general-conference/2012/04/statistical-report-2011?lang=eng"
"2012",3005,29014,14782473,122273,272330,"https://www.churchofjesuschrist.org/study/general-conference/2013/04/statistical-report-2012?lang=eng"
"2013",3050,29253,15082028,115486,282945,"https://www.churchofjesuschrist.org/study/general-conference/2014/04/statistical-report-2013?lang=eng"
"2014",3114,29621,15372337,116409,296803,"https://www.churchofjesuschrist.org/study/general-conference/2015/04/statistical-report-2014?lang=eng"
"2015",3174,30016,15634199,114550,257402,"https://www.churchofjesuschrist.org/study/general-conference/2016/04/statistical-report-2015?lang=eng"
"2016",3266,30304,15882417,109246,240131,"https://www.churchofjesuschrist.org/study/general-conference/2017/04/statistical-report-2016?lang=eng"
"2017",3341,30506,16118169,106771,233729,"https://newsroom.churchofjesuschrist.org/article/2017-statistical-report-april-2018-general-conference"
"2018",3383,30536,16313735,102102,234332,"https://newsroom.churchofjesuschrist.org/article/2018-statistical-report"
"2019",3437,30940,16565036,94266,248835,"https://newsroom.churchofjesuschrist.org/article/2019-statistical-report"
"2020",3463,31136,16663663,65440,125930,"https://newsroom.churchofjesuschrist.org/article/april-2021-general-conference-statistical-report"
"2021",3498,31315,16805400,89069,168283,"https://newsroom.churchofjesuschrist.org/article/2021-statistical-report-april-2022-conference"